size   Skiplist   SortedArray   Treap   HashTable

10, 0, 0, 0, 0.001
11, 0.01, 0.01, 0, 0
12, 0.01, 0.03, 0, 0
13, 0.02, 0.12, 0, 0.002
14, 0.04, 0.12, 0.01, 0.002
15, 0.10, 1.93, 0.04, 0.008
16, 0.20, 7.70, 0.09, 0.022
17, 0.46, 30.73, 0.2, 0.04
18, 1.08, 123.25, 0.49, 0.088
19, 2.56, 492.91, 1.26, 0.166
20, 5.98, 1968.34, 3.24, 0.306
21, 13.73, 7832, 7.87, 0.69
22, 30.87, 31414, 18.51, 1.908
23, 67.78, 125656, 41.68, 3.032
24, 148.54, 502625, 92, 5.493
25, 335.06, 2010500, 210.33, 11.331
26, 737.11, 8042000, 462.89, 23.202
27, 1621.64, 32168000, 987.48, 49.25
28, 3567.61, 128672000, 2271.2, 10.4.541
29, 7848.74, 5146880000, 5223.77, 221.905
30, 17267, 20587520000, 12014.69, 471.03
