size    Skiplist    SortedArray    Treap    HashTable
10, 0.05, 0.05, 0.05, 0.008
11, 0.06, 0.06, 0.06, 0.01
12, 0.08, 0.06, 0.07, 0.01
13, 0.10, 0.06, 0.08, 0.007
14, 0.12, 0.07, 0.10, 0.011
15, 0.14, 0.07, 0.12, 0.009
16, 0.16, 0.08, 0.12, 0.016
17, 0.19, 0.09, 0.15, 0.016
18, 0.25, 0.10, 0.18, 0.041
19, 0.33, 0.11, 0.23, 0.022
20, 0.40, 0.12, 0.31, 0.021
21, 0.47, 0.13, 0.37, 0.132
22, 0.54, 0.14, 0.44, 0.026
23, 0.61, 0.15, 0.47, 0.025
24, 0.68, 0.16, 0.54, 0.035
25, 0.81, 0.17, 0.59, 0.073
26, 0.94, 0.18, 0.66, 0.103
27, 1.06, 0.19, 0.74, 0.039
28, 1.20, 0.20, 0.84, 0.093
29, 1.35, 0.21, 0.93, 0.083
30, 1.55, 0.22, 1.03, 0.068
